;school;sex;age;address;famsize; pstatus ; medu ; fedu ;mjob ;fjob ;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
44;GP;F;16;U;LE3;T;2;2;other;at_home;course;father;2;2;1.0;yes;no;no;yes;yes;yes;yes;no;4;3;3;2;2;5;14;10;11;11
45;GP;F;15;U;LE3;A;4;3;other;other;course;mother;1;2;0;yes;yes;yes;yes;yes;yes;yes;yes;5;2;2;1;1;5;4;10;11;11
46;GP;female; 16 ;U;LE3;A;3;3;other;services;home;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;2;3;5;1;4;3;6;13;12;13
47;GP;M;16;U;GT3;T;4;3;health;services;reputation;mother;1;4;0;no;no;no;yes;yes;yes;yes;no;4;2;2;1;1;2;2;17;17;17
48;GP;M;15;U;GT3;T;4;2;teacher;other;home;mother;1;2;0;no;yes;no;no;yes;yes;no;no;4;3;3;2;2;5;4;11;12;13
49;GP;F;15;U;GT3;T;4;4;services;teacher;other;father;1;2;0;yes;yes;no;yes;no;yes;yes;no;4;4;4;1;1;3;2;13;12;12
50;GP;F;16;U;LE3;T;2;2;services;services;course;mother;3;2;0;no;yes;no;no;yes;yes;yes;no;4;3;3;2;3;4;0;14;13;13
51;GP;F;15;urban;LE3;T;4;2;health;other;other;Mother;1;2;0;no;yes;no;no;yes;yes;yes;no;4;3;3;1;1;5;0;16;14;16
52;GP;M;15;U;LE3;A;4;2;;health;other;father;2;1;0;no;no;no;no;yes;yes;no;no;5;5;5;3;4;5;4;10;9;9
53;GP;F;15;u;GT3;T;4;4;services;services;course;mother;1;1;0;yes;yes;no;no;yes;yes;yes;no;3;3;4;2;3;5;0;13;12;12
54;GP;F;15;U;LE3;A;3;3;other;other;other;mother;1;1;0;no;no;no;no;yes;yes;yes;no;5;3;4;4;4;1;0;13;12;13
55;GP;F;16;U;GT3;A;2;1;other;other;other;mother;1;2;0;no;no;no;yes;yes;yes;yes;yes;5;3;4;1;1;2;2;12;13;12
56;GP;F;15;U;GT3;A;4;3;services;services;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;4;3;2;1;1;1;0;15;14; 15 
57;GP;M;15;U;GT3;T;4;4;teacher;health;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;no;no;3;2;2;1;1;5;8;15;15;16
58;GP;M;15;U;LE3;T;1;2;other;at_home;home;father;1;2;0;yes;yes;no;yes;yes;yes;yes;no;4;3;2;1;1;5;0;14;13;14
59;GP;F;16;U;GT3;T;4;2;services;other;course;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;2;3;1;1;5;2;16;15;16
60;GP;F;16;R;GT3;T;4;4;health;teacher;other;mother;1;2;0;no;yes;no;yes;yes;yes;no;no;2;4;4;2;3;4;0;17;16;16
61;GP;F;16;U;GT3;T;1;1;services;services;course;father;4;1;0;yes;yes;no;yes;no;yes;yes ;yes;5;5;5;5;5;5;0;10;10;16
62;GP;F;16;U;LE3;T;1;2;other;services;reputation;father;1;2;0;yes;no;no;yes;yes;yes;yes;no;4;4;3;1;1;1;0;13;13;10
63;GP;F;16;U;GT3;T;4;3;teacher;health;home;mother;1;3;0;yes;yes;no;yes;yes;yes;yes;no;3;4;4;2;4;4;0;14;13;13
64;GP;F;15;U;LE3;T;4;3;services;services;reputation;father;1;2;0;yes;no;no;yes;yes;yes;yes;yes;4;4;4;2;4;2;0;13;12;12
65;GP;F;16;U;LE3;T;4;3;teacher;services;course;mother;3;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;3;1;2;1;2;16;15; 16 
66;GP;M;15;U;GT3;A;4;4;other;services;reputation;mother;1;4;0;no;yes;no;yes;no;yes;yes;yes;1;3;3;5;5;3;0;11;12;12
67;GP;F;16;U;GT3;T;3;1;services;other;course;mother;1;4;0;yes;yes;no;no;yes;yes;yes;no;4;3;3;1;2;5;0;10;9;10
68;GP;F;15;R;LE3;T;2;2;health;services;reputation;mother;2;2;0;yes;yes;no;no;yes;yes;yes;no;4;1;3;1;3;4;0;11;10;11
69;GP;F;15;R;LE3;T;3;1;other;other;reputation;father;2;4.0;0;no;yes;no;no;no;yes;yes;no;4;4;2;2;3;3;6;15;15;15
70;GP;M;16;U;GT3;T;3;1;other;other;reputation;father;2;4;0;no;yes;no;no;yes;yes;yes;no;4;3;2;1;1;5;2;13;11;11
71;GP ;M;15;U;GT3;T;4;2;other;other;course;mother;1;4;0;no;no;no;no;yes;yes;yes;no;3;3;3;1;1;3;0;11;9;10
72;GP;F;15;R;GT3;T;1;1;other;other;reputation;unknown;1;2;0;yes;yes;no;no;no;yes;yes;yes;3;3;4;2;4;5;2;13;11;11
73;GP;M;16;U;GT3;T;3;1;other;other;reputation;mother;1;1;0;no;no;no;yes;yes;yes;no;no;5;3;2;2;2;5;0;13;13;14
74;GP;F;16;U;GT3;T;3;3;other;services;home;mother;1;2;0;yes;yes;no;yes;yes;yes;yes;no;4;3;3;2;4;5;4;11;11;11
75;GP;M;15h;N/A;GT3;T;4;3;teacher;other;home;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;4;3;3;2;3;5;0;11;11;11
76;GP;M;15;U ;GT3;T;4;0;teacher;other;course;mother;2;4;0;no;no;no;yes;yes;yes;yes;no;3;4;3;1;1;1;0;12;11;11
77;GP;F ;16;U;GT3;T;2;2;other;other;reputation;mother;1;4;0;no;no;no;no;yes;yes;yes;yes;5;2;3;1;3;3;1;13;13;13
78;GP;M;17;U;GT3;T;2;1;other;other;home;mother;2;1;3;yes;yes;no;yes;yes;no;yes;no;4;5;1;1;1;3;0;9;9;10
79;GP;F;16;U;GT3;T;3;4;at_home;other;course;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;2;4;3;1;2;3;14;12;11;11
80;GP;M;15;U;GT3;T;2;3;other;services;course;father;1;1;0;yes;yes;no;yes;no;yes;yes;yes;3;2;2;1;3;3;0;11;11;12
81;GP;M;15;U;GT3;T;2;3;other; ?;home;mother;1;3;0;yes;no;no;no;no;yes;yes;no;5;3;2;1;2;5;2;10;9;9
82;GP;F;15;U;LE3;T;3;2;services;other;reputation;mother;1;2;0;no;yes;no;no;yes;YES;yes;no;4;4;4;1;1;5;4;12;11;11
83;GP;M;15;U;LE3;T;2;2;services;services;home;mother;2;2.0;0;no;no;yes;yes;yes;yes;yes;no;5;3;3;1;3;4;2;13;12;13
84;GP;F;15;U;GT3;T;1;1;other;other;home;father;1;2;0;no;yes;no;yes;no;yes;yes;no;4;3;2;2;3;4;2;13;12;12
85;GP;F;15;U;GT3;T;4;4;services;services;reputation;father;2;2; 0 ;no;no;no;no;yes;yes;yes;yes;4;4;4;2;3;5;4;12;11;12
86;GP;F;16;U;LE3;T;2;2;at_home;other;course;mother;1;2;0;no;yes;no;no;yes;yes;no;no;4;3;4;1;2;2;6;13;11;11
87;GP;F;15;U;GT3;T;4;2;other;other;N/A;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;3;1;4;15;15;15
88;GP;male;16h;U;GT3;T;2;2;services;other;reputation;father;2;2;0;no;no;no;yes;no;yes;yes;no;4;4;2;1;1;3;6;12;10;11
89;GP;M;16;U;LE3;A;4;4;teacher;health;reputation;mother;1;2;0;no;yes;no;no;yes;yes;no;no;4;1;3;3;5;5;6;9;9;10
90;GP;F;16;U;GT3;T;3;3;other;other;home;mother;1;3;0;no;yes;no;no;yes;yes;yes ;yes;4;3;3;1;3;4;2;9;11;11
91;GP;F;15;U;GT3;T;4;3;services;other;reputation;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;4;5;5;1;3;1;6;14;13;13
92;GP;F;16;U;LE3;T;3;1;other;other;home;father;1;2;0;yes;yes;no;no;yes;yes;no;no;3;3;3;2;3;2;0;12;13;12.0
93;GP;F;16;U;GT3;T;4;2;teacher;services;home; mother ;2;2;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;1;1;2;13.0;14;14
94;GP;M;15;U;LE3;T;2;2;services;health;reputation;mother;1;4;0;no;yes;no;yes;yes;yes;yes;no;4;3;4;1;1;4;2;11;12;12
95;GP;F;15;R;GT3;T;1;1;at_home;other;home;Mother;2;4;0;yes;yes;yes;yes;yes;yes;yes;no;3;1;2;1;1;1;4;13;13;13
96;GP;M;16;R;GT3;T;4;3;services;other;reputation;mother;2;1;0;yes;yes;yes;yes;no;yes;yes;no;3;3;3;1;1;4;6;9;11;11
97;GP;F;16;U;GT3;T;2;1;;other;unknown;mother;1;2;0;no;yes;no;no;yes;yes;no;yes;4;3;5;1;1;5;0;13;12;12
98;GP;F;16;U;GT3;T;4;4;other;other;unknown;mother;1;1;0;no;no;no;yes;no;yes;yes;no;5;3;4;1;2;1;4;12;13;13
99;GP;F;16;U;GT3;T;4;3;other;at_home;course;mother;1;3;0;yes;yes;no;no;yes;yes;yes;no;5;3;5;1;1;3;2;12;13;13
100;GP;M;16;U;GT3;T;4;4;unknown;services;other;mother;1;1;0;yes;yes;no;yes;yes;yes;yes;no;4;5;5;5;5;4;12;9;9;8
101;GP;M;16;U;GT3;T;4;4;services;teacher;other;father;1;3;0;no;yes;no;yes;yes;yes;yes;yes;4;4;3;1;1;4;0;16;16;16
102;GP;M;15;U;GT3;T;4;4;services;other;course;mother;1;1;0;no;yes;yes;yes;no;yes;yes;no;5;3;3;1;1;5;2;12;13;12
103;GP;F;15;U;GT3;T;3;2;services;other;home;mother;2;2;0;yes;yes;no;no;yes;yes;yes;no;4;3;5;1;1;2;16;11;10;10
104;GP;M;15h;N/A;GT3;A;3;4;services;other;course;mother;1;2;0;no;yes;no;yes;yes; y;yes;no;5;4;4;1;1;1;0;16;16;16
105;GP;F;15;U;GT3;A;3;3;other;health;reputation;;1;4;0;yes;no;no;no;yes;yes;no;no;4;3;3;1;1;4;10;10.0;10;10 points
106;GP;F;15;U;GT3;T;2;2;other;other;course;mother;1;4;0;yes;yes;no;no;yes;yes;yes;no;5;1;2;1;1;3;4;10;10;10
107; Gabriel Pereira;M;16;U;GT3;T;3;3;services;other;home;father;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;1;5;4;13;14;14
108;GP;M;15;R;GT3;T;4;4;other;other;home;father;4;4;0;no;yes;no;yes;yes;yes;yes;yes;1;3;5;3;5;1;8;12;10;11
109;GP;F;16;U;LE3;T;4;4;health;health;other;mother;1;3;0;no;yes;no;yes;yes;yes;yes;yes;5;4;5;1;1;4;2;15;15;14
110;GP;M;15;U;LE3;A;4;4;teacher;teacher;course;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;5;5;3;1;1;4;4;13;14;14
111;GP;F;16;R;GT3;T;3;3;services;other;reputation;father;1;3;0;yes;yes;no;yes;yes;yes;Y;no;4;1;2;1;1;2;4;11;11;11
112;GP;F;16;U;GT3;T;2;2;at_home;other;home;mother;1;2;1;yes;no;no;yes;yes;yes;;no;3;1;2;1;1;5;12; 8 ;10;10
113;GP ;M;15;U;LE3;T;4;2;teacher;other;course;mother;1;1;0;no;no;no;no;yes;yes;yes;no;3;5;2;1;1;3;10;18;17;18
114;GP;M;15;R;GT3;T;2;1;health;services;reputation;mother;1;2;0;no;no;no;yes;yes;yes;yes;yes;5;4;2;1;1;5;4;10;9;10
115;GP;M;16;U;GT3;T;4;4;teacher;teacher;course;father;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;4;1;2;5;6;16;14;14
116;GP;M;15;U;GT3;T;4;4;other;teacher;reputation;father;2;2;0;no;yes;no;yes;yes;yes;no;no;4;4;3;1;1;2;4;16;15;16
117;GP;M;16;U;GT3;T;3;3;other;services;home;father;2;1;0;no;no;no;yes;yes;Yes;yes;no;5;4;2;1;1;5;6;14;14;15
118;GP;M;17;R;GT3;T;1;3;other;other;course;father;3;2;1;no;yes;no;yes;yes;yes;yes;no;5;2;4;1;4;5;14;12;11;11
119;GP;M;15;U;GT3;T;3;4;other;other;reputation;father;1;1;0;no;no;no;no;yes;yes;yes;no;3;4;3;1;2;4;2;14;13;14
120;GP;F;15;U;GT3;T;1;2;at_home;services;course;mother;1;2;0;no;no;no;no;no;yes;yes;no;3;2;3;1;2;1;0;14;14;14
121;GP;M;15;U;GT3;T;2;2;services;services;home;father;1;4;0;no;yes;no;yes;yes;;yes;no;5;5;4;1;2;5;6;14;13;13
122;GP;F;16;U;LE3;T;2;4;other;health;course;father;2;2;0;no;yes;no;yes;yes;yes;yes ;yes;4;2;2;1;2;5;2;14;12;13
123;GP;M;16;U;GT3;T;4;4;health;other;course;mother;1;1h;0;no;yes;no;yes;yes;yes;yes;no;3;4;4;1;4;5;4;12;13;13
124;GP;F;16;U;GT3;T;2;2;other;other;home;mother;1;2;0;no;no;no;no;yes;yes;yes;yes;5;4;4;1;1;5;0;12;11;11
125;GP;M;15;U;GT3;T;3;4;services;services;home;father;1;1;0;yes;no;no;no;yes;yes;yes;no;5;5;5;3;2;5;2;9;9;9
126;GP;F;15;U;LE3;A;3;4;other;other;home;mother;1;2;0;yes;no;no;yes;yes;yes;yes;yes;5;3;2;1;1;1;0;10;11;11
127;GP;F;19;U;GT3;T;0;1;at_home;other;course;other;1;2;2;no;yes;no;no;no;no;no;no;3;4;2;1;1;5;0;9;10;11
128;GP;M;16;R;GT3;T;4;4;teacher;teacher;course;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;3;5;5;2;5;4;8;14;14;15
129;GP;M;16;U;GT3;T;2;3;other;other;course;mother;2;3;0;no;yes;no;no;no;yes;yes;yes;3;2;3;2;2;1;4;13;12;13.0
130;GP;female;15;R;GT3;T;3;4;services;teacher;course;father;2;3;0;no;yes;no;no;yes;yes;yes;yes;4;2;2;2;2;5;0;10;11;12
131;GP;F;18;U;GT3;T;2;1;services;other;reputation;mother;1;2;3;no;yes;no;yes;yes;no;yes;yes;5;4;5;1;3;5;10;10;9;8
132;GP;F;17;U;LE3;A;2;1;other;other;course;mother;3;1;0;no;yes;no;no;yes;yes;yes;no;3;2;2;1;2;5;8;11;10;11
133;GP;F;15;U;GT3;T;1;1;at_home;other;course;mother;3;1;0;no;yes;no;yes;no;yes;yes;yes;4;3;3;1;2;4;6;11;12;13
134;GP;F; 17 ;U;LE3;T;2;2;other;other;course;father;1;1; 0 ;no;yes;no;no;yes;yes;yes;yes;3;4;4;1;3;5;2;13;12;12
135;GP;F;16;U;GT3;A;3;4;services;unknown;course;father;1;1;0;no;no;no;no;yes;yes;;no;3;2;1;1;4;5;12;15;13;14
136;GP;M;16;U;GT3;T;2;1;at_home;other;course;mother;4;1;0;no;no;no;no;yes;yes;no;no;3;2;1;1;1;2;4;9;9;11
137;GP;F;16;U;GT3;A;2;2;other;other;home;mother;1;1;1;no;no;no;no;yes;yes;no;no;5;3;4;1;1;5;12;13;11;11
138;GP;M;15;unknown;GT3;T;3;4;at_home;teacher;course;mother;4;2;0;no;yes;no;no;yes;yes;no;yes;5;3;3;1;1;5;2;12;11;11
139; Gabriel Pereira;F;15;U;GT3;T;4;4;services;at_home;course;mother;1;3;0;no;yes;no;yes;yes;yes;yes;yes;4;3;3;1;1;5;4;13;14;15
140;GP;M;17;R;GT3;T;3;4;at_home;other;course;mother;3;2;0;no;no;no;no;yes;yes;no;no;5;4;5;2;4;5;2;10;9;10
141;GP;F;16;R;GT3;T;1;1;at_home;other;course;mother;4;2;0;no;yes;no;no;yes;yes;no;no;5;1;3;1;1;3;0;14;13;13
142;GP;M;18;U;LE3;T;3;1;services;services;course;mother;2;1;0;no;no;no;yes;yes;yes;Y;yes;3;3;4;4;5;4;2;11;11;12
143;GP;F;18;U;GT3;A;3;2;other;services;course;other;1;3;0;no;yes;no;yes;no;yes;yes;yes;4;3;3;5;1;5;10;12;11;11
144;GP;F;16;R;GT3;T;1;1;other;services;reputation;mother;2;1;0;no;yes;no;yes;yes;yes;no;yes;3;3;3;1;2;1;8;12;11;11
145;GP;F;16;urban;GT3;A;3;3;other;other;course;other;2;1;0;no;yes;no;yes;no;yes;yes;yes;4;3;2;1;1;5;4;9;9;10 points
146;GP;M;16;U;LE3;T;1;1;services;other;course;mother;1;2;2;no;no;no;no;yes;yes;no;yes;4;4;4;1;3;5;0;10;10;10
147;GP;F;15;U;GT3;T;4;4;teacher;teacher;course;mother;2;1;0;no;no;no;yes;yes;yes;yes;no;4;3;2;1;1;5;6;13;14;14
148;GP;F;15;R;GT3;T;1;1;other;other;course;mother;3;1;1;no;no;no;yes;yes;yes;yes;yes;5;5;5;1;1;1;2;8;9;9
149;GP;M;15;unknown;GT3;T;4;3;teacher;services;course;father;2;4;0;yes;yes;no;no;yes;yes;yes;no;2;2;2;1;1;3;6h;9;11;11
150;GP;F;15;U;GT3;A;3;3;services;services;home;mother;1;2;0;no;no;no;no;no;yes;no;yes;1;3;2;2;3;1;24;9;8;9
151;GP;M;16;U;GT3;T;4;4;services;services;course;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;3;5;0;15;-3;13
152;gp;M;16;U;LE3;T;2;2;services;services;reputation;father;2;1;0;no;yes;no;yes;yes;yes;yes;no;2;3;3;2;2;2;4;12;11;11
153;unknown;F;15;U;GT3;T;4;4;teacher;services;course;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;4;2;2;1;1;5;2;13;13;13
154;GP ;F;16;U;LE3;T;1;1;at_home;at_home;course;mother;1;1;0;no;no;no;no;yes;yes;yes;no;3;4;4;3;3;1;4;10;11;11
155;GP;M;17;U;GT3;T;2;1;other;other;home;mother;1;1;0;no;yes;no;no;yes;yes;yes;no;5;4;5;1;2;5;22;9;7;6
156;GP;F;15;U;GT3;T;1;1;other;services;course;father;1;2;0;no;yes;no;no;yes;yes;yes;no;4;4;2;1;2;5;0;12;12;12
157;GP;F;15;U;LE3;A;2;1;at_home;other;home;mother;2;1;0;no;yes;no;yes;yes;no;yes;yes;4;4;2;1;1;5;0;11;10;10
158;GP;F;15;U;GT3;T;3;2;health;services;home;father;1;2;1;no;yes;no;no;yes;yes;yes;no;3;3;2;1;1;3;2;11;11;11
159;GP;F;15;U;GT3;T;1;2;at_home;other;course;mother;1;2;0;no;yes;no;no;no;yes;yes;no;4;3;2;1;1;5;6;13;12;13
160;GP;F;15;U;GT3;T;1;2;at_home;services;course;father;1;2.0;0;no;no;no;no;no; y;no;yes;2;3;4;2;4;1;6;11;11;11
161;GP;M;16;;GT3;T;4;4;teacher;teacher;course;mother;1;1;0;no;yes;no;no;yes;no;yes;yes;3;3;2;2;1;5;16;9;9;8
162;GP;M;15;U;LE3;A;2;1;services;other;course;mother;4;1;0;no;no;no;no;yes;;yes;no;4;5;5;2;5;5;0;12;11.0;11
163;GP;M;18;U;LE3;T;1;1;other;other;course;mother;1;1;2;no;no;no;no;yes;no;yes;yes;2;3;5;2;5;4;0;11;9;0
164;GP;M;16;U;LE3;T;2;1;at_home;other;course;mother;1;1;1;no;no;no;yes;yes;yes;no;yes;4;4;4;3;5;5;6;9;10;10
165;GP;F;15;R;GT3;T;3;3;services;services;reputation;other;2; 3 ;0;no;yes;yes;yes;yes;yes;yes;yes;4;2;1;2;3;3;2;13;13;13
166;GP;M;19;U;GT3;T;3;2;services;at_home;home;Mother;1;1;0;no;yes;no;no;yes;no;yes;yes;4;5;4;1;1;4;6;11;9;11
167;GP;F;17;U;GT3;T;4;4;other;teacher;course;mother;1;1;0;yes;yes;no;no;yes;yes;no;yes;4;2;1;1;1;4;0;13;13;13
168;GP;M;15;R;GT3;T;2;3;at_home;services;course;mother;1;2;0;yes;no;yes;yes;yes;yes;no;no;4;4;4;1;1;1;0;7;8;8
169;GP;M;17;R;LE3;T;1;2;other;other;reputation;mother;1;1;3;no;no;no;no;yes;yes;no;no;2;2;2;3;3;5;14;9;8;10
170;GP;F;18;R;GT3;T;1;1;at_home;unknown;course;mother;3;1;3;no;yes;no;yes;no;yes;no;no;5;2;5;1;5;4;6;11;10;11
171;GP;M;16;R;GT3;T;2;2;at_home;other;course;mother;3;1;0;no;no;no;no;no;yes;no;no;4;2;2;1;2;3;4;12;10;11
172;GP;M;16;U;GT3;T;3;3;other;services;course;father;1;2;1;no;yes;no;no;yes;yes;yes;yes;4;5;5;4;4;5;0;10;10;1
173;GP;M;16;U;LE3;T;1;2;health;services;course;mother;2;1;2;no;no;no;no;no;yes;yes;no;4;4;5;3;5;5;0;9;8;10
174;GP;M;17;R;LE3;T;2;1;at_home;other;course;mother;2;1;1;no;no;yes;yes;yes;no;yes;yes;3;3;2;2;2;5;8;8;8;9
175;GP;M;17;R;GT3;T;3;2;other;other;course;mother;2;2;2h;yes;yes;no;no;yes;yes;yes;yes;4;4;4;1;4;3;4;7;6;8
